"Спецификация галтели";"";""
"Тип";"Длина, м"
"Ванная";""
"Галтели 10 на 10 под натяжной";"7,75"
"Гардеробная";""
"Галтели 10 на 10 под натяжной";"8,22"
"Гостиная";""
"Галтели 10 на 10 под натяжной";"18,15"
"Коридор";""
"Галтели 10 на 10 под натяжной";"19,77"
"Кухня";""
"Галтели 10 на 10 под натяжной";"15,51"
"Прихожая";""
"Галтели 10 на 10 под натяжной";"3,65"
"С/у";""
"Галтели 10 на 10 под натяжной";"6,68"
"Спальня №1";""
"Галтели 10 на 10 под натяжной";"14,51"
"Спальня №2";""
"Галтели 10 на 10 под натяжной";"16,56"
"Общий итог";"110,81"
