"Спецификация площади настенных плиток";"";"";"";""
"ID";"Тип";"Площадь, м²"
"";"";""
"3032";"GFU04RLT04R W плитка напольная керамогранитная Rialto 600*600*10";"4,42"
"4526";"Керамогранит Beton White 1200*600*10 пол и стены";"1,70"
"Ванная";"";""
"4526";"Керамогранит Beton White 1200*600*10 пол и стены";"15,53"
"4527";"Керамогранит Burlington White 60х120 MATT ZR Матовый";"5,80"
"Кухня";"";""
"4528";"Фартук Керамогранит Orlando Beige 60х120 GLOSSY Глянец";"2,61"
"С/у";"";""
"4530";"Керамогранит Beton White 1200*600*10 пол и стены";"14,36"
"8328";"Керамогранит Burlington White 60х120 MATT ZR Матовый";"3,64"
"Общий итог";"";"48,05"
