"Спецификация поклейка обоев с покраской";"";"";"";""
"Тип";"Площадь, м²";"Литр, л";"Клей под обойный";"Масса, кг"
"Гардеробная";"";"";"";""
"Краска Dulux Bindo 7, код цвета G485, флизелиновые обои.";"22,63";"4,53";"Да";"0,57"
"Гостиная";"";"";"";""
"Краска Dulux Bindo 7, код цвета G485, флизелиновые обои.";"43,05";"8,61";"Да";"1,08"
"Коридор";"";"";"";""
"Краска Dulux Bindo 7, код цвета G485, флизелиновые обои.";"44,37";"8,87";"Да";"1,11"
"Кухня";"";"";"";""
"Краска Dulux Bindo 7, код цвета G485, флизелиновые обои.";"39,94";"7,99";"Да";"1,00"
"Прихожая";"";"";"";""
"Краска Dulux Bindo 7, код цвета G485, флизелиновые обои.";"8,55";"1,71";"Да";"0,21"
"Спальня №1";"";"";"";""
"Краска Dulux Bindo 7, код цвета G485, флизелиновые обои.";"38,12";"7,62";"Да";"0,95"
"Спальня №2";"";"";"";""
"Краска Dulux Bindo 7, код цвета G485, флизелиновые обои.";"44,18";"8,84";"Да";"1,10"
"Общий итог";"240,83";"48,17";"";"6,02"
