"Спецификация помещений в этапе обмерных работ";"";"";""
"Наименование помещений";"Периметр, м";"Площадь пола, м²";"Площадь стен, м²";"Высота потолка, мм";"Периметр, м";"Общая площадь стены, м²";"ERBO_Разделитель помещений";"ERBO_Площадь ок. и дв. проемов"
"Балкон";"";"3,24";"";"3000";"8,28";"0,00";"";""
"Ванная";"";"4,25";"";"3000";"9,86";"0,00";"";""
"Гардеробная";"";"2,29";"";"3000";"6,58";"0,00";"";""
"Гостиная";"";"20,21";"";"3000";"18,90";"0,00";"";""
"Коридор";"";"14,26";"";"3000";"21,24";"0,00";"";""
"Кухня";"";"11,85";"";"3000";"13,78";"0,00";"";""
"Прихожая";"";"1,61";"";"3000";"5,12";"0,00";"";""
"С/у";"";"3,47";"";"3000";"7,54";"0,00";"";""
"Спальня №1";"";"14,05";"";"3000";"15,14";"0,00";"";""
"Спальня №2";"";"15,21";"";"3000";"15,80";"0,00";"";""
"Общий итог";"";"90,44";"";"";"122,24";"0,00";"";""
