"Спецификация сантех. оборудования";"";"";"";""
"Наименование";"Уровень от пола, мм";"Число, шт"
"Ванная";"";""
"";"900";"1"
"";"900";"1"
"Душевая кабина, прозрачное стекло, фурнитура хром, размер до 1,2м х 1,2м , высота 2м";"";"1"
"Душевая система Showerpipe 230 1jet с термостатом Hansgrohe Vernis Shape 26286000, хром";"1200";"1"
"Кухня";"";""
"Кухонная мойка";"";"1"
"С/у";"";""
"";"900";"1"
"";"900";"1"
"Унитаз подвесной Grossman GR-4498SQC Tornado безободковый + Инсталляция для подвесного унитаза GROHE Rapid SL";"450";"1"
"Общий итог";"";"8"
