"Спецификация электрических приборов";"";""
"Наименование";"Комната, имя";"Сущ/Накл";"Число, шт"
"Выключатели";"";"";""
"Выключатель 1-клавишный 10 А,IP20,250B";"<варианты>";"";"2"
"Выключатель 2-клавишный 10 А,IP20,250B";"<варианты>";"";"4"
"Выключатель 2-клавишный проходной 10 А,IP20,250B";"<варианты>";"";"4"
"Освещение";"";"";""
"Встраиваемый светильник Crystal Lux CLT 002С2 WH";"Кухня";"";"4"
"Софит/Светильник встраиваемый светодиодный белый AL615";"<варианты>";"";"25"
"Розетки";"";"";""
"Блок розеток 2х220В+2хRJ45";"<варианты>";"";"2"
"Розетка 1-гнездовая 16А,IP20,250B";"<варианты>";"";"18"
"Розетка 1-гнездовая 32А,IP20,250B";"Кухня";"";"1"
"Розетка 1-гнездовая с крышкой и шторками 16А, IP44,250B";"<варианты>";"";"3"
"Розетка 2-гнездовая 16А,IP20,250B";"<варианты>";"";"9"
"Розетка 2-гнездовая с крышкой и шторками 16А,IP44,250B";"Ванная";"";"1"
"Устройство";"";"";""
"Терморегулятор теплого пола";"<варианты>";"";"3"
"Общий итог";"";"";"76"
